pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,44.77773920004256,45.74997080001049,45.74997080001049,45.74997080001049,45.74997080001049,45.783459900005255,46.74999130005017,46.74999130005017,x,1,1.4404808999970555,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,0,1,1,1,,,,,48.21656200004509,49.216539999993984,49.216539999993984,49.216539999993984,49.216539999993984,49.216539999993984,50.199946100008674,50.199946100008674,v,1,1.1782058999524452,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,0,2,2,2,,,,,51.39991279999958,52.3999821000034,52.3999821000034,52.3999821000034,52.3999821000034,52.3999821000034,53.39979650004534,53.39979650004534,c,1,1.2021003999980167,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,0,3,3,3,,,,,54.63352070003748,55.633340500004124,55.633340500004124,55.633340500004124,55.633340500004124,55.633340500004124,56.633227800019085,56.633227800019085,z,1,0.6452558999881148,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,1,0,4,0,,,,,57.30024360003881,58.300022300041746,58.300022300041746,58.300022300041746,58.300022300041746,58.300022300041746,59.29997180000646,59.29997180000646,x,1,0.6420636000111699,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,1,1,5,1,,,,,59.96676810004283,60.96664240001701,60.96664240001701,60.96664240001701,60.96664240001701,60.96664240001701,61.966650900023524,61.966650900023524,v,1,0.5838159999693744,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,1,2,6,2,,,,,62.583289100031834,63.58329209999647,63.58329209999647,63.58329209999647,63.58329209999647,63.58329209999647,64.58331710001221,64.58331710001221,c,1,0.6267561000422575,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,1,3,7,3,,,,,65.2334428000031,66.23382459999993,66.23382459999993,66.23382459999993,66.23382459999993,66.23382459999993,67.23325069999555,67.23325069999555,z,1,0.5795571000198834,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,2,0,8,0,,,,,67.83318459999282,68.83340450003743,68.83340450003743,68.83340450003743,68.83340450003743,68.83340450003743,69.83321160002379,69.83321160002379,x,1,0.5397509000031278,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,2,1,9,1,,,,,70.39980010001455,71.39979520003544,71.39979520003544,71.39979520003544,71.39979520003544,71.39979520003544,72.40000790002523,72.40000790002523,v,1,0.7078649000031874,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,2,2,10,2,,,,,73.13322710001376,74.13340019999305,74.13340019999305,74.13340019999305,74.13340019999305,74.13340019999305,75.13341520004906,75.13341520004906,c,1,0.7490493000368588,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,2,3,11,3,,,,,75.89985530002741,76.90005890000612,76.90005890000612,76.90005890000612,76.90005890000612,76.90005890000612,77.89988280000398,77.89988280000398,z,1,0.7846802000422031,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,3,0,12,0,,,,,78.71653680002782,79.716585999995,79.716585999995,79.716585999995,79.716585999995,79.716585999995,80.71656890003942,80.71656890003942,x,1,0.6449400000274181,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,3,1,13,1,,,,,81.3831367000239,82.38337930000853,82.38337930000853,82.38337930000853,82.38337930000853,82.38337930000853,83.3832420000108,83.3832420000108,v,1,0.355550599982962,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,3,2,14,2,,,,,83.76681060000556,84.7666475000442,84.7666475000442,84.7666475000442,84.7666475000442,84.7666475000442,85.7668656000169,85.7668656000169,c,1,0.4210283000138588,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,3,3,15,3,,,,,86.21668120002141,87.21662520000245,87.21662520000245,87.21662520000245,87.21662520000245,87.21662520000245,88.21666860004188,88.21666860004188,z,1,0.6521662999875844,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,4,0,16,0,,,,,88.8998781000264,89.89989709999645,89.89989709999645,89.89989709999645,89.89989709999645,89.89989709999645,90.89976770000067,90.89976770000067,x,1,0.30892219999805093,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,4,1,17,1,,,,,91.23317320004571,92.23327270004665,92.23327270004665,92.23327270004665,92.23327270004665,92.23327270004665,93.23331750003854,93.23331750003854,v,1,0.33453469997039065,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,4,2,18,2,,,,,93.59988740005065,94.59977750002872,94.59977750002872,94.59977750002872,94.59977750002872,94.59977750002872,95.58323430002201,95.58323430002201,c,1,0.8049211000325158,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,4,3,19,3,,,,,96.416401399998,97.41642500000307,97.41642500000307,97.41642500000307,97.41642500000307,97.41642500000307,98.4164596000337,98.4164596000337,z,1,0.6414764000219293,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,5,0,20,0,,,,,99.08303790003993,100.08338820002973,100.08338820002973,100.08338820002973,100.08338820002973,100.08338820002973,101.0830716000055,101.0830716000055,x,1,0.7128543999860995,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,5,1,21,1,,,,,101.81648370000767,102.81651360000251,102.81651360000251,102.81651360000251,102.81651360000251,102.81651360000251,103.81644980004057,103.81644980004057,v,1,0.5741846999735571,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,5,2,22,2,,,,,104.41646870004479,105.41657910001231,105.41657910001231,105.41657910001231,105.41657910001231,105.41657910001231,106.41649340000004,106.41649340000004,c,1,0.5905394000001252,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,5,3,23,3,,,,,107.03298600000562,108.03308790002484,108.03308790002484,108.03308790002484,108.03308790002484,108.03308790002484,109.03320480004186,109.03320480004186,z,1,0.6183483999921009,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,6,0,24,0,,,,,109.6832150000264,110.68310730002122,110.68310730002122,110.68310730002122,110.68310730002122,110.68310730002122,111.68330150004476,111.68330150004476,x,1,0.3320386999985203,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,6,1,25,1,,,,,112.03328820003662,113.03329470002791,113.03329470002791,113.03329470002791,113.03329470002791,113.03329470002791,114.03313860000344,114.03313860000344,v,1,0.36923840001691133,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,6,2,26,2,,,,,114.43389560002834,115.43314440001268,115.43314440001268,115.43314440001268,115.43314440001268,115.43314440001268,116.43309679999948,116.43309679999948,c,1,0.3974779999698512,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,6,3,27,3,,,,,116.84993250004482,117.84977830003481,117.84977830003481,117.84977830003481,117.84977830003481,117.84977830003481,118.84968990000198,118.84968990000198,z,1,0.5295254999655299,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,7,0,28,0,,,,,119.39970720000565,120.39976380002918,120.39976380002918,120.39976380002918,120.39976380002918,120.39976380002918,121.3996569000301,121.3996569000301,x,1,0.38690480001969263,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
